cell_id,group,Disease,Stage,plot_stage,pseudotime,mix_entropy,Batch,OXPHOS,Apoptosis
Normal_1_6_3_3_bar19,Normal,Control,SPC7,Late SPC,7.40854700854701,0.4454685520745207,Normal_1,2.9685192368441258,0.0442494760030224
Normal_1_6_3_5_bar21,Normal,Control,D,Late SPC,6.7441860465116275,0.1016093118462857,Normal_1,2.851338180656237,0.1683339907148588
Normal_1_6_3_6_bar22,Normal,Control,Undiff.SPG-2,SPG (Stem),2.175438596491228,0.9160724926555216,Normal_1,3.495813460006901,0.6811790324782478
Normal_1_6_3_7_bar23,Normal,Control,SPC7,Late SPC,7.223931623931624,0.0574590202865503,Normal_1,2.3252416387467605,0.3884674073248311
Normal_1_6_3_8_bar24,Normal,Control,D,Late SPC,6.498604651162791,0.3764618904658653,Normal_1,3.0441986476380896,0.2147994355511588
Normal_1_6_4_1_bar25,Normal,Control,preL-1,Early SPC,3.5764705882352943,0.9020619953851936,Normal_1,3.033732869637568,0.3176866692262357
Normal_1_6_4_2_bar26,Normal,Control,D,Late SPC,6.78139534883721,0.0574590202865503,Normal_1,2.9406208682689092,0.1405458103795087
Normal_1_6_4_5_bar29,Normal,Control,Undiff.SPG-1,SPG (Stem),1.8111111111111111,0.980135748457446,Normal_1,3.409165454399881,0.3606262966766391
Normal_1_6_4_6_bar30,Normal,Control,L3,Early SPC,4.934883720930233,0.994646779743541,Normal_1,3.2905370945918917,0.5036398087999007
Normal_1_6_4_7_bar31,Normal,Control,SPC7,Late SPC,7.535042735042735,0.4232915514333092,Normal_1,3.012829407549849,0.2461528598476377
Normal_1_6_4_8_bar32,Normal,Control,SPC7,Late SPC,7.435897435897436,0.4232915514333092,Normal_1,3.0133416721784947,0.0312173682034506
Normal_1_6_5_1_bar33,Normal,Control,D,Late SPC,6.697674418604652,0.2410763084844952,Normal_1,2.9288187466932953,0.5737916963195155
Normal_1_6_5_5_bar37,Normal,Control,S2,Elongated Sperm,9.340397350993378,0.6918138653199457,Normal_1,2.6253090161999695,0.3645377132069423
Normal_1_6_5_6_bar38,Normal,Control,S1,Round Sperm,8.084916201117318,0.4232915514333092,Normal_1,2.7706107981983776,0.1859126883984269
Normal_1_6_5_7_bar39,Normal,Control,D,Late SPC,6.559999999999999,0.3764618904658653,Normal_1,3.0741707010542907,0.3643359015513377
Normal_1_6_5_8_bar40,Normal,Control,S2,Elongated Sperm,9.266225165562911,0.7192711659547665,Normal_1,2.8337490381691977,0.4497548430122161
Normal_1_6_6_1_bar41,Normal,Control,Diff.ing SPG,SPG (Stem),3.129824561403509,0.834051858790033,Normal_1,3.431809538051856,0.0
Normal_1_6_6_2_bar42,Normal,Control,D,Late SPC,6.420465116279069,0.2410763084844952,Normal_1,3.109571324771902,0.2697170944965522
Normal_1_6_6_3_bar43,Normal,Control,D,Late SPC,6.710697674418604,0.2097688050776946,Normal_1,3.0516732010952037,0.229707461503901
Normal_1_6_6_4_bar44,Normal,Control,S1,Round Sperm,8.332960893854748,0.545883901502697,Normal_1,2.674780608836526,0.2866519350949426
Normal_1_6_6_6_bar46,Normal,Control,S1,Round Sperm,8.301675977653632,0.5076575881791653,Normal_1,2.92965307080703,0.2846427873457607
Normal_1_6_6_7_bar47,Normal,Control,SPC7,Late SPC,7.264957264957265,0.0574590202865503,Normal_1,3.0119204933319157,0.1388699812594316
Normal_1_6_7_2_bar50,Normal,Control,D,Late SPC,6.48,0.3764618904658653,Normal_1,3.100008792548371,0.2185653520649537
Normal_1_6_7_4_bar52,Normal,Control,S1,Round Sperm,8.212290502793296,0.3516761192089252,Normal_1,2.86708417615461,0.1290235327484876
Normal_1_6_7_5_bar53,Normal,Control,S1,Round Sperm,8.34413407821229,0.545883901502697,Normal_1,3.03224532925835,0.224518807996715
Normal_1_6_7_6_bar54,Normal,Control,S2,Elongated Sperm,9.520529801324503,0.4689955935863958,Normal_1,2.659932475448894,0.4716855946926407
Normal_1_6_7_7_bar55,Normal,Control,S2,Elongated Sperm,9.488741721854304,0.4416201315762053,Normal_1,2.492969747983115,0.0932392652655356
Normal_1_6_7_8_bar56,Normal,Control,S2,Elongated Sperm,9.53907284768212,0.4612160405110241,Normal_1,2.4913606111153137,0.070665167082847
Normal_1_6_8_2_bar58,Normal,Control,S1,Round Sperm,8.350837988826814,0.545883901502697,Normal_1,2.632672549623439,0.1205829464410343
Normal_1_6_8_3_bar59,Normal,Control,Undiff.SPG-2,SPG (Stem),2.2666666666666666,0.8705109726668042,Normal_1,3.613333275036635,0.6014828380402422
Normal_1_6_8_4_bar60,Normal,Control,S1,Round Sperm,8.321787709497206,0.545883901502697,Normal_1,2.683732544207869,0.0
Normal_1_6_8_5_bar61,Normal,Control,S1,Round Sperm,8.120670391061452,0.3258655606291759,Normal_1,2.716232176677583,0.0929060446815974
Normal_1_6_8_6_bar62,Normal,Control,Undiff.SPG-1,SPG (Stem),1.9166666666666667,0.999208938861951,Normal_1,2.740709722291622,0.93197042176791
Normal_1_6_9_5_bar69,Normal,Control,Diff.ing SPG,SPG (Stem),3.094736842105263,0.7811153285415829,Normal_1,3.4349345161261176,1.0330364473148057
Normal_1_6_9_7_bar71,Normal,Control,D,Late SPC,6.7627906976744185,0.0574590202865503,Normal_1,3.023522531615593,0.1327834567819883
Normal_1_6_9_8_bar72,Normal,Control,S1,Round Sperm,8.194413407821228,0.1016093118462857,Normal_1,2.7667290525715216,0.1094716285720991
Normal_1_7_2_1_bar1,Normal,Control,T,Late SPC,6.933333333333333,0.0574590202865503,Normal_1,2.565744252232057,0.3433288629457333
Normal_1_7_2_6_bar6,Normal,Control,S2,Elongated Sperm,9.6,0.4021791901993874,Normal_1,2.2517626429579063,0.0
Normal_1_7_3_2_bar10,Normal,Control,T,Late SPC,7.199999999999999,0.0574590202865503,Normal_1,2.9911338587457066,0.3081281347442111
Normal_1_7_3_4_bar12,Normal,Control,P,Late SPC,6.267857142857142,0.400309645830661,Normal_1,3.0039360644600555,0.0
Normal_1_7_3_8_bar16,Normal,Control,T,Late SPC,7.133333333333333,0.0574590202865503,Normal_1,3.126655681414802,0.5691320903827066
Normal_2_1_10_1_bar73,Normal,Control,SPC7,Late SPC,7.494017094017095,0.4232915514333092,Normal_2,2.9365413473508855,0.6114798628870756
Normal_2_1_10_2_bar74,Normal,Control,D,Late SPC,6.589767441860466,0.2989239369426592,Normal_2,3.119314353113018,0.1887307312639844
Normal_2_1_10_4_bar76,Normal,Control,D,Late SPC,6.444651162790698,0.3258655606291759,Normal_2,3.011464755699037,0.5978599125839422
Normal_2_1_10_6_bar78,Normal,Control,SPC7,Late SPC,7.241025641025641,0.0574590202865503,Normal_2,3.080562020980644,0.3508223449879677
Normal_2_1_10_7_bar79,Normal,Control,D,Late SPC,6.5637209302325585,0.3764618904658653,Normal_2,3.104340235134469,0.8013560855104238
Normal_2_1_10_8_bar80,Normal,Control,D,Late SPC,6.509767441860466,0.3764618904658653,Normal_2,2.462682244955043,0.1601226849478751
Normal_2_1_11_2_bar82,Normal,Control,SPC7,Late SPC,7.487179487179487,0.4232915514333092,Normal_2,2.9537168398882314,0.0
Normal_2_1_11_3_bar83,Normal,Control,S2,Elongated Sperm,9.533774834437086,0.456186102566641,Normal_2,2.5117493612630977,0.5094099850790641
Normal_2_1_11_5_bar85,Normal,Control,SPC7,Late SPC,7.374358974358973,0.4454685520745207,Normal_2,3.012284609121297,0.1853465694096033
Normal_2_1_11_6_bar86,Normal,Control,S1,Round Sperm,8.116201117318436,0.3516761192089252,Normal_2,2.8090117317058176,0.2359315787868404
Normal_2_1_11_8_bar88,Normal,Control,SPC7,Late SPC,7.213675213675214,0.0574590202865503,Normal_2,2.921659181233057,0.3872254302049122
Normal_2_1_12_1_bar89,Normal,Control,D,Late SPC,6.786976744186046,0.0574590202865503,Normal_2,3.0628230924056696,0.2407144819209105
Normal_2_1_12_2_bar90,Normal,Control,S2,Elongated Sperm,9.348344370860929,0.6474532485582359,Normal_2,2.650047574200584,0.2598788080898797
Normal_2_1_12_7_bar95,Normal,Control,D,Late SPC,6.595348837209301,0.2989239369426592,Normal_2,2.933694548383423,0.6357932141968514
Normal_2_1_12_8_bar96,Normal,Control,SPC7,Late SPC,7.203418803418803,0.0574590202865503,Normal_2,2.961013630879577,0.2263904405554021
Normal_2_1_2_2_bar10,Normal,Control,S1,Round Sperm,8.062569832402236,0.4232915514333092,Normal_2,2.7345862559659744,0.2465169097806678
Normal_2_1_2_3_bar11,Normal,Control,SPC7,Late SPC,7.206837606837607,0.0574590202865503,Normal_2,2.6832140111726206,0.3697359194339011
Normal_2_1_2_5_bar13,Normal,Control,S2,Elongated Sperm,9.50728476821192,0.4571439561701209,Normal_2,2.5484389608996594,0.2736969717305628
Normal_2_1_3_2_bar18,Normal,Control,S2,Elongated Sperm,9.573509933774837,0.4689955935863958,Normal_2,2.7602443550472815,0.3055071276708255
Normal_2_1_3_4_bar20,Normal,Control,S2,Elongated Sperm,9.324503311258278,0.7192711659547665,Normal_2,2.5580699505716105,0.0
Normal_2_1_3_6_bar22,Normal,Control,S3,Elongated Sperm,9.6,0.4050201326213569,Normal_2,2.833613452263516,0.3119170175060267
Normal_2_1_4_5_bar29,Normal,Control,D,Late SPC,6.798139534883721,0.0574590202865503,Normal_2,3.1562741204421885,0.7974625379399489
Normal_2_1_5_1_bar33,Normal,Control,SPC7,Late SPC,7.405128205128204,0.4454685520745207,Normal_2,2.9565881338002833,0.1248504018534286
Normal_2_1_5_8_bar40,Normal,Control,S1,Round Sperm,8.13854748603352,0.2410763084844952,Normal_2,2.7014794820982466,0.3083072841506604
Normal_2_1_6_3_bar43,Normal,Control,S2,Elongated Sperm,9.298013245033111,0.7192711659547665,Normal_2,2.7286438632598915,0.3676862430531677
Normal_2_1_6_4_bar44,Normal,Control,D,Late SPC,6.794418604651163,0.0574590202865503,Normal_2,3.1496201573712073,0.2736399782480314
Normal_2_1_6_6_bar46,Normal,Control,D,Late SPC,6.483720930232558,0.3764618904658653,Normal_2,3.1856164047115003,0.3651270390847044
Normal_2_1_7_1_bar49,Normal,Control,D,Late SPC,6.446511627906975,0.3258655606291759,Normal_2,2.902195837036303,0.907795264016002
Normal_2_1_9_5_bar69,Normal,Control,S3,Elongated Sperm,9.86086956521739,0.2761954276450537,Normal_2,2.422286112083209,0.4981391255038089
Normal_2_1_9_6_bar70,Normal,Control,S1,Round Sperm,8.230167597765362,0.5076575881791653,Normal_2,2.8677449413156064,0.2850659402256907
Normal_2_1_9_7_bar71,Normal,Control,D,Late SPC,6.550697674418605,0.3764618904658653,Normal_2,2.9883928092572227,0.5604262146106957
Normal_2_2_1_4_bar4,Normal,Control,SPC7,Late SPC,7.552136752136752,0.4232915514333092,Normal_2,3.046006252650595,0.2459758607316205
Normal_2_2_1_5_bar5,Normal,Control,D,Late SPC,6.66232558139535,0.2989239369426592,Normal_2,3.011452044302982,0.4318172270583511
Normal_2_2_1_6_bar6,Normal,Control,D,Late SPC,6.543255813953489,0.3764618904658653,Normal_2,2.9332737617005034,0.5477676395787222
Normal_2_2_1_7_bar7,Normal,Control,S3,Elongated Sperm,9.826086956521738,0.3200148627446612,Normal_2,2.347409545706688,0.0
Normal_2_2_10_5_bar77,Normal,Control,SPC7,Late SPC,7.521367521367521,0.4232915514333092,Normal_2,2.754242721062368,0.2338870345880524
Normal_2_2_11_2_bar82,Normal,Control,S1,Round Sperm,8.087150837988826,0.4232915514333092,Normal_2,2.602931899316814,0.1324184485314756
Normal_2_2_11_4_bar84,Normal,Control,SPC7,Late SPC,7.452991452991453,0.4232915514333092,Normal_2,3.0336818417817044,0.6811136151480932
Normal_2_2_11_5_bar85,Normal,Control,D,Late SPC,6.766511627906976,0.0574590202865503,Normal_2,3.066034961298979,0.3778242496120211
Normal_2_2_11_6_bar86,Normal,Control,SPC7,Late SPC,7.234188034188033,0.0574590202865503,Normal_2,3.0085580058353667,0.2235221499333844
Normal_2_2_11_7_bar87,Normal,Control,S1,Round Sperm,8.160893854748604,-1.4428232973175177e-12,Normal_2,2.632985492522882,0.3128008721022093
Normal_2_2_12_1_bar89,Normal,Control,S1,Round Sperm,8.283798882681564,0.5076575881791653,Normal_2,2.740056210553937,0.0549599855510711
Normal_2_2_12_2_bar90,Normal,Control,SPC7,Late SPC,7.2854700854700845,0.1016093118462857,Normal_2,2.9183935492289725,0.2448295769082375
Normal_2_2_12_3_bar91,Normal,Control,S2,Elongated Sperm,9.364238410596029,0.545883901502697,Normal_2,2.6455595638212666,0.1291273231193719
Normal_2_2_12_4_bar92,Normal,Control,S1,Round Sperm,8.355307262569832,0.5641201360165431,Normal_2,3.012813302008924,0.3552521892562447
Normal_2_2_12_6_bar94,Normal,Control,S1,Round Sperm,8.134078212290504,0.2707180859308279,Normal_2,2.84143395521508,0.2079881460227789
Normal_2_2_12_7_bar95,Normal,Control,D,Late SPC,6.695813953488373,0.2410763084844952,Normal_2,2.8478931454000005,0.2509800440973789
Normal_2_2_2_2_bar10,Normal,Control,S1,Round Sperm,8.080446927374304,0.4232915514333092,Normal_2,2.7559230614148085,0.4176787059372275
Normal_2_2_2_5_bar13,Normal,Control,S1,Round Sperm,8.002234636871508,0.4232915514333092,Normal_2,2.7058882777786124,0.2979553302620391
Normal_2_2_2_7_bar15,Normal,Control,ST,Round Sperm,7.800000000000001,0.4232915514333092,Normal_2,2.7012422446417874,0.2225025010854122
Normal_2_2_2_8_bar16,Normal,Control,SPC7,Late SPC,7.199999999999999,0.0574590202865503,Normal_2,2.7897948624013393,0.4453332773258648
Normal_2_2_3_1_bar17,Normal,Control,S1,Round Sperm,8.292737430167598,0.5076575881791653,Normal_2,2.7906073084809115,0.0911869121364637
Normal_2_2_3_3_bar19,Normal,Control,S1,Round Sperm,8.225698324022346,0.4668927834005117,Normal_2,2.9053832723207,0.2587113472672233
Normal_2_2_3_5_bar21,Normal,Control,S2,Elongated Sperm,9.568211920529802,0.4912373418214477,Normal_2,2.4015023231913974,0.4514044349581877
Normal_2_2_3_6_bar22,Normal,Control,S2,Elongated Sperm,9.210596026490066,0.6474532485582359,Normal_2,2.8903861462577813,0.1360357106771653
Normal_2_2_4_1_bar25,Normal,Control,SPC7,Late SPC,7.500854700854701,0.4232915514333092,Normal_2,3.250204327441913,0.8739224876274571
Normal_2_2_4_2_bar26,Normal,Control,SPC7,Late SPC,7.230769230769231,0.0574590202865503,Normal_2,2.904775922365085,0.0768808956317493
Normal_2_2_4_3_bar27,Normal,Control,S2,Elongated Sperm,9.547019867549668,0.4689955935863958,Normal_2,2.6407521901754247,0.3888165954661513
Normal_2_2_4_5_bar29,Normal,Control,S2,Elongated Sperm,9.483443708609272,0.4373963240974813,Normal_2,2.807570427782273,0.3947196646135694
Normal_2_2_4_6_bar30,Normal,Control,D,Late SPC,6.511627906976745,0.3764618904658653,Normal_2,3.019736043448952,0.4925936814472136
Normal_2_2_4_8_bar32,Normal,Control,SPC7,Late SPC,7.5076923076923086,0.4232915514333092,Normal_2,3.0951366491276464,0.0767378420684103
Normal_2_2_5_1_bar33,Normal,Control,S2,Elongated Sperm,9.51523178807947,0.4641741938292084,Normal_2,2.4161432914317977,0.1074143023807442
Normal_2_2_5_2_bar34,Normal,Control,S2,Elongated Sperm,9.443708609271525,0.4668927834005117,Normal_2,2.3907206567512356,0.0
Normal_2_2_5_3_bar35,Normal,Control,D,Late SPC,6.506046511627908,0.3764618904658653,Normal_2,2.7939370234758414,0.1192371894033577
Normal_2_2_5_4_bar36,Normal,Control,S2,Elongated Sperm,9.544370860927152,0.4663703330622972,Normal_2,2.522094862515273,0.4578931759324414
Normal_2_2_5_6_bar38,Normal,Control,S2,Elongated Sperm,9.56026490066225,0.482628274345617,Normal_2,2.4442982411926346,0.4477476010312445
Normal_2_2_5_7_bar39,Normal,Control,S3,Elongated Sperm,9.73913043478261,0.3505638206789802,Normal_2,2.2242246053271058,0.0
Normal_2_2_5_8_bar40,Normal,Control,S2,Elongated Sperm,9.213245033112582,0.6474532485582359,Normal_2,2.396586266349085,0.0485808598792122
Normal_2_2_6_5_bar45,Normal,Control,S2,Elongated Sperm,9.202649006622517,0.6317686119223737,Normal_2,2.6460363427921045,0.3989996162188812
Normal_2_2_6_7_bar47,Normal,Control,SPC7,Late SPC,7.442735042735044,0.4232915514333092,Normal_2,3.042873704403259,0.452330019889416
Normal_2_2_6_8_bar48,Normal,Control,S2,Elongated Sperm,9.549668874172186,0.4716537502497926,Normal_2,2.4480571031027383,0.0
Normal_2_2_7_2_bar50,Normal,Control,SPC7,Late SPC,7.48034188034188,0.4232915514333092,Normal_2,2.9572892185449975,0.0
Normal_2_2_7_3_bar51,Normal,Control,D,Late SPC,6.476279069767442,0.3516761192089252,Normal_2,3.1423579331383182,0.2237775717823333
Normal_2_2_7_4_bar52,Normal,Control,S2,Elongated Sperm,9.345695364238413,0.6626797839948473,Normal_2,2.588328645252841,0.3103541268960119
Normal_2_2_7_6_bar54,Normal,Control,SPC7,Late SPC,7.5487179487179485,0.4232915514333092,Normal_2,3.0956658642121013,0.3332084989908678
Normal_2_2_7_8_bar56,Normal,Control,SPC7,Late SPC,7.381196581196581,0.4454685520745207,Normal_2,2.9748252874345624,0.3183762186523363
Normal_2_2_8_1_bar57,Normal,Control,SPC7,Late SPC,7.6,0.4232915514333092,Normal_2,2.907508913378991,0.0743485057035851
Normal_2_2_8_2_bar58,Normal,Control,D,Late SPC,6.733023255813952,0.1016093118462857,Normal_2,3.054769532022655,0.733892338872944
Normal_2_2_8_4_bar60,Normal,Control,S1,Round Sperm,8.306145251396648,0.5076575881791653,Normal_2,2.6735882652530685,0.0690061670333043
Normal_2_2_8_7_bar63,Normal,Control,S1,Round Sperm,8.270391061452514,0.5076575881791653,Normal_2,2.7451908931696476,0.1249961641624494
Normal_2_2_8_8_bar64,Normal,Control,D,Late SPC,6.45953488372093,0.3516761192089252,Normal_2,3.0745251221566336,0.1699830487681036
Normal_2_2_9_3_bar67,Normal,Control,D,Late SPC,6.567441860465117,0.3516761192089252,Normal_2,3.12858593787667,0.3958125843968775
Normal_2_2_9_5_bar69,Normal,Control,S1,Round Sperm,8.393296089385476,0.5818055236132329,Normal_2,2.9873263410417477,0.2185139713482491
Normal_2_3_10_1_bar73,Normal,Control,D,Late SPC,6.63813953488372,0.2707180859308279,Normal_2,3.016293896905717,0.2878313621023233
Normal_2_3_10_2_bar74,Normal,Control,D,Late SPC,6.679069767441861,0.2707180859308279,Normal_2,3.086980508086358,0.3135539631097837
Normal_2_3_10_3_bar75,Normal,Control,S1,Round Sperm,8.23687150837989,0.5076575881791653,Normal_2,3.0244267456973555,0.1840030979958435
Normal_2_3_10_4_bar76,Normal,Control,D,Late SPC,6.764651162790698,0.0574590202865503,Normal_2,3.1017643258478436,0.4514155816650944
Normal_2_3_10_5_bar77,Normal,Control,D,Late SPC,6.6716279069767435,0.2989239369426592,Normal_2,2.95765477582839,0.4829636983427222
Normal_2_3_10_6_bar78,Normal,Control,D,Late SPC,6.413023255813954,0.2097688050776946,Normal_2,3.182259320765733,0.2670321710965229
Normal_2_3_10_7_bar79,Normal,Control,SPC7,Late SPC,7.476923076923078,0.4232915514333092,Normal_2,3.1184685248500346,0.4582082571244046
Normal_2_3_11_1_bar81,Normal,Control,D,Late SPC,6.749767441860465,0.1016093118462857,Normal_2,3.082038701169534,0.2190678744983449
Normal_2_3_11_2_bar82,Normal,Control,D,Late SPC,6.7013953488372096,0.2410763084844952,Normal_2,3.137501294809737,0.1092995481620152
Normal_2_3_11_3_bar83,Normal,Control,S1,Round Sperm,8.17877094972067,-1.4428232973175177e-12,Normal_2,3.048883931784599,0.188590307743769
Normal_2_3_11_5_bar85,Normal,Control,D,Late SPC,6.53953488372093,0.3764618904658653,Normal_2,3.0927882709914116,0.4815830994932278
Normal_2_3_11_6_bar86,Normal,Control,S1,Round Sperm,8.004469273743016,0.4232915514333092,Normal_2,2.8197199881032047,0.1738400464550877
Normal_2_3_12_1_bar89,Normal,Control,S2,Elongated Sperm,9.255629139072848,0.6918138653199457,Normal_2,2.763526017812091,0.1663247184453413
Normal_2_3_12_2_bar90,Normal,Control,SPC7,Late SPC,7.292307692307692,0.1406962253139284,Normal_2,3.12005403638291,0.0
Normal_2_3_12_3_bar91,Normal,Control,S1,Round Sperm,8.060335195530726,0.4232915514333092,Normal_2,2.9680281972126195,0.3667280571953389
Normal_2_3_12_4_bar92,Normal,Control,D,Late SPC,6.597209302325581,0.2989239369426592,Normal_2,2.949250422599234,0.2873890039630311
Normal_2_3_12_5_bar93,Normal,Control,SPC7,Late SPC,7.394871794871794,0.4454685520745207,Normal_2,3.0990082648241892,0.4754390197711867
Normal_2_3_12_6_bar94,Normal,Control,SPC7,Late SPC,7.398290598290598,0.4454685520745207,Normal_2,2.90984048843948,0.0607729086823789
Normal_2_3_12_7_bar95,Normal,Control,S2,Elongated Sperm,9.578807947019868,0.4450648570479532,Normal_2,2.6912969120174557,0.2150081631909845
Normal_2_3_12_8_bar96,Normal,Control,S1,Round Sperm,8.075977653631286,0.4232915514333092,Normal_2,2.876792265100015,0.2864316241609996
Normal_2_3_2_1_bar9,Normal,Control,D,Late SPC,6.4651162790697665,0.3516761192089252,Normal_2,3.167901856920847,0.3707861602170206
Normal_2_3_2_2_bar10,Normal,Control,D,Late SPC,6.723720930232559,0.1406962253139284,Normal_2,3.151974658427925,0.14834891181269
Normal_2_3_2_3_bar11,Normal,Control,SPC7,Late SPC,7.316239316239316,0.2097688050776946,Normal_2,2.952346622632878,0.0702520239443903
Normal_2_3_2_4_bar12,Normal,Control,S1,Round Sperm,8.127374301675978,0.3258655606291759,Normal_2,2.9263673132811805,0.1287041141296777
Normal_2_3_2_5_bar13,Normal,Control,SPC7,Late SPC,7.415384615384616,0.4454685520745207,Normal_2,3.0219292769251545,0.3189425963634993
Normal_2_3_2_6_bar14,Normal,Control,D,Late SPC,6.548837209302326,0.3764618904658653,Normal_2,3.1459151394920486,0.2713323557653632
Normal_2_3_2_7_bar15,Normal,Control,D,Late SPC,6.571162790697675,0.3516761192089252,Normal_2,3.2294335372168934,0.4168059132558042
Normal_2_3_2_8_bar16,Normal,Control,D,Late SPC,6.721860465116279,0.1764720592497063,Normal_2,2.993630232085782,0.35319051568616
Normal_2_3_3_2_bar18,Normal,Control,D,Late SPC,6.468837209302326,0.3516761192089252,Normal_2,3.232844392113648,0.3688705187752477
Normal_2_3_3_3_bar19,Normal,Control,SPC7,Late SPC,7.326495726495726,0.2410763084844952,Normal_2,3.0848763856071466,0.0955521720245584
Normal_2_3_3_4_bar20,Normal,Control,D,Late SPC,6.706976744186046,0.2410763084844952,Normal_2,3.0221132449516643,0.3125910505469111
Normal_2_3_3_5_bar21,Normal,Control,D,Late SPC,6.615813953488372,0.2707180859308279,Normal_2,3.089948774593098,0.1653334189815633
Normal_2_3_3_6_bar22,Normal,Control,D,Late SPC,6.489302325581395,0.3764618904658653,Normal_2,3.1846030648304104,0.4215951462538477
Normal_2_3_3_7_bar23,Normal,Control,SPC7,Late SPC,7.514529914529915,0.4232915514333092,Normal_2,3.0694633511054183,0.3769394239737833
Normal_2_3_3_8_bar24,Normal,Control,D,Late SPC,6.587906976744186,0.2989239369426592,Normal_2,3.1602387832093233,0.5414518293978967
Normal_2_3_4_1_bar25,Normal,Control,S1,Round Sperm,8.214525139664804,0.3764618904658653,Normal_2,3.0071629128973543,0.2619199248090036
Normal_2_3_4_2_bar26,Normal,Control,D,Late SPC,6.7479069767441855,0.1016093118462857,Normal_2,3.0984183214495,0.4045776873006033
Normal_2_3_4_3_bar27,Normal,Control,Undiff.SPG-2,SPG (Stem),2.294736842105263,0.8705109726668042,Normal_2,3.2150466302546903,0.7370341551111356
Normal_2_3_4_4_bar28,Normal,Control,D,Late SPC,6.533953488372093,0.3764618904658653,Normal_2,3.174521455926804,0.4867316695931094
Normal_2_3_4_5_bar29,Normal,Control,D,Late SPC,6.768372093023255,0.0574590202865503,Normal_2,3.1687421435558503,0.4454202800889128
Normal_2_3_4_7_bar31,Normal,Control,S2,Elongated Sperm,9.23973509933775,0.6918138653199457,Normal_2,2.711536764598089,0.1306315856367778
Normal_2_3_4_8_bar32,Normal,Control,SPC7,Late SPC,7.247863247863248,0.0574590202865503,Normal_2,2.8499674902021725,0.7272561833452981
Normal_2_3_5_1_bar33,Normal,Control,D,Late SPC,6.44093023255814,0.2989239369426592,Normal_2,3.372264976799661,0.7263499312405178
Normal_2_3_5_2_bar34,Normal,Control,S2,Elongated Sperm,9.226490066225166,0.6626797839948473,Normal_2,2.7713551239694256,0.1996219726720344
Normal_2_3_5_4_bar36,Normal,Control,D,Late SPC,6.461395348837209,0.3516761192089252,Normal_2,3.2713504264087745,0.4406093525423197
Normal_2_3_5_5_bar37,Normal,Control,S1,Round Sperm,8.091620111731842,0.4232915514333092,Normal_2,2.9166592529152067,0.2405824215701327
Normal_2_3_5_6_bar38,Normal,Control,S2,Elongated Sperm,9.480794701986756,0.4579685237347218,Normal_2,2.5353409009198904,0.2845833377860632
Normal_2_3_6_1_bar41,Normal,Control,D,Late SPC,6.757209302325582,0.1016093118462857,Normal_2,3.1309546172190172,0.3442164261705367
Normal_2_3_6_2_bar42,Normal,Control,S1,Round Sperm,8.12513966480447,0.3258655606291759,Normal_2,2.7261490455341386,0.1592422892841952
Normal_2_3_6_5_bar45,Normal,Control,D,Late SPC,6.649302325581395,0.2707180859308279,Normal_2,2.8352374205663127,0.1764272232504755
Normal_2_3_6_6_bar46,Normal,Control,D,Late SPC,6.602790697674418,0.2989239369426592,Normal_2,3.099146349925758,0.3047662374889177
Normal_2_3_6_7_bar47,Normal,Control,Undiff.SPG-1,SPG (Stem),1.8166666666666669,0.983198884098092,Normal_2,2.937557759808654,0.3940513731296767
Normal_2_3_6_8_bar48,Normal,Control,Diff.ing SPG,SPG (Stem),3.045614035087719,0.7057464344124471,Normal_2,3.5645217765068864,0.0
Normal_2_3_7_1_bar49,Normal,Control,S1,Round Sperm,8.348603351955306,0.545883901502697,Normal_2,2.754297690753412,0.2179177333686433
Normal_2_3_7_2_bar50,Normal,Control,S1,Round Sperm,8.308379888268156,0.5270721966227245,Normal_2,3.0589914826471607,0.0454727940760931
Normal_2_3_7_3_bar51,Normal,Control,D,Late SPC,6.677209302325582,0.2707180859308279,Normal_2,3.261954792907911,0.2252040976195037
Normal_2_3_7_4_bar52,Normal,Control,S1,Round Sperm,8.156424581005586,-1.4428232973175177e-12,Normal_2,2.7987952634667956,0.1049489390299694
Normal_2_3_7_5_bar53,Normal,Control,D,Late SPC,6.606511627906977,0.2989239369426592,Normal_2,2.943083923098099,0.2599041538799544
Normal_2_3_7_6_bar54,Normal,Control,S2,Elongated Sperm,9.401324503311258,0.4668927834005117,Normal_2,2.7173291721023745,0.4540217288104108
Normal_2_3_7_8_bar56,Normal,Control,D,Late SPC,6.7553488372093025,0.1016093118462857,Normal_2,3.013145930949365,0.4298506174034155
Normal_2_3_8_1_bar57,Normal,Control,S1,Round Sperm,8.09608938547486,0.400309645830661,Normal_2,2.515655814841536,0.1028044339430455
Normal_2_3_8_2_bar58,Normal,Control,S2,Elongated Sperm,9.475496688741725,0.4537163391840595,Normal_2,2.5491822995808344,0.1208034314897564
Normal_2_3_8_3_bar59,Normal,Control,D,Late SPC,6.409302325581394,0.2097688050776946,Normal_2,3.0682193226122085,0.58158320918657
Normal_2_3_8_4_bar60,Normal,Control,D,Late SPC,6.541395348837209,0.3764618904658653,Normal_2,3.2018390689402967,0.2826106537139744
Normal_2_3_8_6_bar62,Normal,Control,D,Late SPC,6.708837209302326,0.2410763084844952,Normal_2,2.9618730864375182,0.4829325236631478
Normal_2_3_8_8_bar64,Normal,Control,D,Late SPC,6.729302325581394,0.1406962253139284,Normal_2,3.179089510318591,0.3204472686567267
